Station,Lat,Lon,Tied,ResidualT,Elevation,Basic,Lateral,ResidualL
Proj 16 Station 1,39.75222222,-105.1805556,11.5,3.82,1851.01355,8,-99,-99
Proj 16 Station 2,39.75222222,-105.1805556,10.9,3.79,1851.01355,2,-99,-99
Proj 16 Station 3,39.75222222,-105.1805556,11.2,3.79,1851.01355,8,-99,-99
P17S3,39.75189955,-105.1824488,28,0.98,1877.269531,30,-99,-99
P17S4,39.75189955,-105.1824488,22,1.14,1877.269531,25,30,2.6
P19S1,39.75075334,-105.1864904,36,0.94,1865.958984,35,40,2.7
P19S2,39.75075334,-105.1864904,38,0.99,1865.958984,35,-99,-99
P20,39.75047245,-105.1902366,45,1.85,1875.52356,42,45,3.5
P21,39.75052819,-105.1892125,44,1.62,1874.541016,42,-99,-99
P22,39.75001171,-105.189608,40,1.71,1874.182739,41,-99,-99
P24S1,39.75273604,-105.1926446,50,0.95,1880.291138,46,47,1.6
P24S2,39.75273604,-105.1926446,47,0.94,1880.291138,45,-99,-99
P25,39.75346171,-105.19424,51,0.98,1883.825684,45,43,1.3
P26,39.75386921,-105.1957033,42,1.19,1886.252075,41,45,1.4
P27,39.75513015,-105.1959928,45,1.47,1887.829712,49,49,1.9
P28,39.75512889,-105.198059,41,0.98,1890.72644,42,-99,-99
P29,39.75069793,-105.1900972,45,5.72,1875.000488,45,-99,-99
P30,39.75069793,-105.1900972,40,1.02,1875.000488,41,-99,-99
P30,39.7500208,-105.1895584,43,1.92,1874.247314,42,-99,-99
P32,39.74807406,-105.1898886,25,0.53,1857.744995,30,-99,-99
P34,39.74635832,-105.1894608,27,0.87,1846.471924,15,-99,-99
P41,39.75603853,-105.1969643,48,1.74,1892.373413,47,49,2.3
P42,39.75702929,-105.1984993,49,1.96,1898.438721,60,53,3
P43S1,39.75777778,-105.1977778,48,3.35,1904.690308,65,65,2.8
P43S3,39.75214812,-105.1957918,40,0.87,1878.480957,42,43,1.5
P43S5,39.75063167,-105.19741,38,0.68,1880.849609,40,39,1.2
P43S6,39.74956011,-105.1970217,35,0.66,1875.384155,33,35,0.9
P43S8,39.74881391,-105.1960508,37,0.64,1867.05542,38,25,0.7
P44,39.75505138,-105.2063499,44,0.89,1905.078003,52,45,3
P45,39.75509547,-105.2043451,47,2.01,1904.062866,41,45,2.5
P46,39.75403784,-105.2011552,51,3.05,1903.80481,47,45,2
P47,39.75403784,-105.2011552,52,3.13,1903.80481,51,-99,-99
P48,39.7545545,-105.1993736,50,3.48,1893.789429,51,-99,-99